RUC,company,total
I247747,GUILLERMO VAZQUEZ OJEDA,45
6-709-2275,ALCALDIA MUNICIPAL DE LA PINTADA,45
PE-2-597,RAFAEL GARCIA,45
3-727-1035,GENESISI GALINDO,45
2-278-1268,ODAIS JAMIS ABU AWAD/ALM. MARAVILLOSO,45
44844-166-297492,FIORI INTERNAZIONALE S A,45
1679749-1-681851,WOOD CONCEPT  S A,45
2477223-1-815700,DORKABEN S.A,45
7-91-1172,RODRIGO CASTILLO,45
61440-63-349390,INGENIERIA Y SERVICIO ELECTROMECANICO SA,45
155653353-2-2017,SMART PROD SOLUTION PMA,45
155645456-2-2017,GT COLONIAL PARK,45
1793981-1-704200,OCEAN REEF MARINA  INC,45
155592026-2-2015,"GOLD N LINKS, SA",45
2410543-1-806250,DAMA TRANSPORTE S.A,45
2345535-1-796959,PANAMA PIROTECNICA S.A,45
2141050-1-763775,GRUPO ADVANCE S.A.,45
8-906-44,JUAN GABRIEL GAN CHONG (AMP.MAYORISTA FELIPE),45
E-8-91284,MOSHIUR  RAHAMAN/TAZ DISTRIBUIDORA,45
8-870-2282,ASEM JORGE YAU HOU/INV. LOS YAU HOU SA,45
155585428-2-2014,INDUSTOOLS PANAM,45
32906-107-249419,A D R S A,45
836430-1-502723,PANAFRUTA  S A,45
228060-1-787048,CAPE BAMBOO S.A.,45
8-748-461,JESUS A. SAAVEDRA,45
155590693-2-2015,RETAIL FOOD S.A.,45
993152-1-534638,PRODERMA  S A,45
1440414-1-635810,INTER HOTEL SUPPLIES CORPORATION  S A,45
147-1-76320,TOCHISA DE PANAMA  S  A,45
586310-1-449076,EXPO MODA S A,45
1082598-554874,FAMA INTERNACIONAL,45
155596854-2-2015,SANTA MARIA COURT S.A.,45
2602331-1-834069,"MAQUINARIA ATLANTICA, S.A.",45
155622630-2-2016,"HERRAMIENTAS MEDICAS, SA",45
155613044-2-2015,"EURO FOODSERVICE, S.A.",45
1117556-1-563632,"RDO LINE, S.A.",45
1472228-1-642226,VENTAS Y REPARACIONES MV  SOCIEDAD ANONIMA,45
1351-2-5397,ASOCIACION CRISTIANA DE COMUNICACION,45
920-122-105912,CONSTRUCCIONES ELECTROMECANICAS S A CONELSA,45
1781487-1-702077,CL ADVANCED TECHNOLOGIES  S A,45
155613501-2-2015,DIST. AUTOMOTRIZ FORTUNE S.A,45
155605720-2-2015,"GREEN GROUP DISTRIBUTION, SA",45
PE-11-758,ANTONIO MING YAO/CENTRO COM.EL CAMPESINO,45
155615736-2-2015,MOTOS DEL ISTMO ARRAIJAN S.A.,45
TR4621584,MASAHIKO MIYOSHI,45
155593202-2-2015,LLANOTECNICA S.A.,45
2239450-1-779399,"MALBUN FINANCE,INC",45
8-313-510,GERMAN BRAVO,45
155630797-2-2016,MOHR INGENIERIA S.A.,45
E-8-117439,Michael Poirier,45
1871841-1-717281,GRUPO SEQUOIA PANAMA S A,45
956373-1-526991,DYER AQUA PANAMA  S A,45
155590354-2-2015,"DISTRIBUIDORA ATP, SA",45
1143712-1-570150,SYNTHETIC LANDSCAPING SOLUTIONS INC,45
155626168-2-2016,"LIGHT DEPOT, SA",45
1882808-1-719462,INVERSIONES LAS MA,45
6-702-527,YADEL ISAIAS MITRE/INVERSIONES YOJAN YAEL,45
1434-40-99,TOYOTA MOTOR CORPORATION,45
1-725-1990,PASMA STORE (NESRIN YAMAL ABDALLAH CABALLERO DE ABUAWAD,45
2620345-1-836598,"ITALSAN PANAMA, SA",45
N-21-1922,DIA H.H. ABUAWAD/COMERCIALES BAYAN SA,45
NVBCL2CR9,ANISH CHUGANI,45
155597823-2-2015,GLOBAL TOOLS CORP,45
E-8-90509,IMPORTADORA INNOVATION Z.C.,45
1969929-1-735177,DECORALUX  S A,45
3-91-835,A. R. DISTRIBUCIONES,45
226022-1-399149,AGRO ESPA?A SOCIEDAD ANONIMA,45
2069126-1-751169,BOOKS DE LIGHT S A,45
2-721-5484,CARLOS ROBERTO YAU NG,45
1092752-1-557538,TECHNOVA S A,45
2-729-776,MEIYI LAO CHEN/ELECT. ANGEL,45
2611914-1-835501,ADBIEL GONZALEZ Y COMPA?IA S.A.,44
151535-1-650452,SOLUCIONES ELECTRONICA CASTILLO MARQUEZ  S  A,44
20548-195-186035,MARCORAMA S A,44
1281598-1-600669,GNG  CONSTRUCTION & MARINE SUPPLIER  S A,44
1984080-1-737550,REFRITOTAL  S A,44
E-8-80447,ADEL A.H. AL HJOUJ/REFRIGERACION ADEL,44
4-773-1611,MOHANAD IMTAIR,44
155594053-2-2015,DISTRIB. VIDRIOS Y ALUMINIOS,44
E-8-40-929,SUN FAT CHEUNG/ IMPORTADORA SUN FAT,44
155652986-2-2017,"SAIGON PEARLS, INC",44
2690544-1-846676,CENTER VENTURES CORP.,44
2638557-1-839125,F.U.G.A. S.A.,44
941014-1-523751,EQUIPO Y SERVICIOS PATI,44
1857722-1-714873,GRUPO Z S A,44
8-215-72,ZULEIKA MENDOZA DE BOSQUEZ/ZULY STORE STETIC,44
N-15-840,MAHMOUD ABDEL KHALED MOHID,44
2-162-1865,TEODORA MADRID C.,44
8-NT-2-715786,JORGE LOPEZ / RASTRO MULTIMOTORES,44
N-20-2472,JIN NING ZHENG / IMP.Y DIST. DIN,44
1507684-1-649006,INPOLTEC  S A,44
155665054-2-2018,"GALMY PANAMA, INC",44
1443034-1-636453,COLLISION SUPPLIES S  A,44
155669484-2-2018,HOB CAROLINA S.A.,44
60822-36-347769,ALZATE BOLIVAR S A,44
1644095-1-674293,GARAL BRAVETEK S A,44
155612126-2-2015,CONSENSUS CONSTRUCTION S.A.,44
29614-11-236564,INVERSIONES TAYA S A,44
781498-1-488249,CORDON DE VIDA  S A,44
2424125-1-808267,INVERSIONES C L S SA,44
C3T7KC5HK,JORG PETER PRUSKI,44
E-8-85537,PERU MODA/OSCAR M. BAZAN RIBBECK,44
3-90-1434,JAVIER ANTONIO GRIMALDO/DISTRIBUIDORA G Y G,44
E-8-103896,GABRIEL VAZQUEZ CELIS / HILO ROJO PANAMA,44
1663964-1-678213,D V  ANIMAL HEALTH CORPORATION,44
155642003-2-2016,"ZAHER,S.A./ CAPRICHO STORE",44
9-166-430,MARITZABETH MU?OZ/DIST. MEYCAR,44
257754-1-404109,A COLOR S A,44
2631677-1-838208,GRUPO PISCINAS PANAMA S.A,44
66042-52-363092,DESARROLLO TURISTICO BUENAVENTURA,44
64582-84-358472,G T TRUCKS SERVICES,44
650233-1-459535,THE GOURMET CONNECTION INC,44
1764641-1-698919,THE PANAMERA HOTEL CORP,44
434121-1-429210,MAGAZINE DESIGN S A,44
31526-75-243689,BOGAR LATINOAMERICANA S A,44
47751-36-308486,REGENCY REAL ESTATE DEVELOPERS S A,44
2408517-1-806029,HT SETECCA PANAMA SA,44
1675383-1-680707,NOVIOS PANAMA S A,44
56909-79-337351,IBERUTILES S.A,44
155669055-2-2018,"ALPHA DIGITAL, INC",44
n-20-1612,MEHAMAD YUMA ASSAD KANAAN,44
2-143-381,ELIDIO UGARTE ORTEGA,44
1-107-432,BICZANIA MAYKHELI CORONADO,44
1647748-1-675003,R  Y G   S A,44
949-523-111359,GRAVA S A,44
1607293-1-667501,SIMPLIFICA T  S A,44
33051-32-250305,MAROLI S A,44
862570-1-507469,PAPELES INDUSTRIALES CENTROAMERICANOS S A,44
155626445-2-2016,VANITATE GROUP INC,44
155619239-2-2015,"QUIBARIO, SA",44
8-838-715,JACQUELINE CAI Y. (AMP. PALIS SHOP),44
58445-65-341751,PILADORA SAN JUAN S A,44
068032971,JOSE ARMANDO GONZALEZ,44
155646500-2-2017,CROWN EAS TECHNOLOGY INC,44
3-740-923,DESIRET HERNANDEZ/ALM. YUNIELYS,44
1301409-1-605637,INSTALACIONES VERTICALES  S A,44
AO269753,ALVARO PALOMINO CARRE?O,44
155637920-2-2016,"PANAMA BAKING FACTORY, S.A.",44
PMAUNHRD,PMA UNHRD,44
1183-594-125546,BANCO DAVIVIENDA (PANAMA)S.A.,44
46793-28-305015,INVERSIONES INTERACTIVAS  S  A,44
8-NT-1-14559,MINISTERIO DE LA PRESIDENCIA,44
155591451-2-2015,PEDRO MANDINGA S DE RL,44
262-552-6586,PRODUCTOS AUTOMOTRICES S A,44
2690760-1-846723,OBSESSION SHOES S.A,44
2421876-1-807968,AUTOMOVILES ITALIANOS DE P.S.A,44
1960953-1-715356,ISTAMBUL PLACE/OUSSAMA ALAMED DIN,44
1256935-1-594638,BRISAS DE PLAYA VENAO  S A,44
9-719-15,TOMAS TRISTAN,44
10-707-1636,GUALBERTO  DIAZ,44
8-703-1934,SOLUCIONES INDUSTRIALES/CARLOS RODRIGUEZ,43
1573922-1-661284,CINEMA PROPERTIES OF PANAMA S A,43
1488830-1-645175,TELECOMUNICATION STRATEGY CORP,43
1795614-1-704467,OSOP  S A,43
1125136-1-565424,XONTAL S A,43
8-462-415,SERVICENTRO AARON,43
E-8-164411,SHADI SHEHADEH SHEHADEH,43
914620-1-517927,MASTER HYDRAULIC  S  A,43
8-244-502,JUAN SAMUDIO,43
2040282-1-746264,"CALACOM, S.A.",43
155588193-2-2014,INTER NEPRO S.A.,43
8-902-1594,RICARDO ALBERTO SOO CHEN,43
155682595-2-2019,"AUTO REPUESTOS EUROPEOS, S.A.",43
8-858-1324,INVERSIONES 5 ESTRELLA /ERICA QUI LI,43
8-849-366,MELISSA MOK /VENTAS INTERNAIONALES,43
2210020-1-774736,MAR BRAVO INTERNATIONAL S.A.,43
1561465-1-659118,GRUPO PROESSA,43
155640308-2-2016,GRUPO SAFETY MALLAS S.A.,43
8-742-1162,FABIO AROSEMENA,43
41113-18-282303,NO LIMIT DESING GROUP S A,43
24638-93-213823,CTRO DE LLANTAS REP FELIPE RODRIGUEZ S A,43
248148-1-402748,GRUPO ELITEX S A,43
2118272-1-759779,INMOBILIARIA AHBTAJ S.A,43
155631030-2-2016,MIXO S A,43
1853993-1-714285,LIQUIDOS CRYOGENICOS PANAME,43
2017799-1-742832,INTERNACIONAL OCC,43
9-738-581,EMPRESAS CVT,43
2-742-428,AYAT HISHAM KHDUR CASTILLO/ TOP FASHION,43
7-708-2096,KAIS SAFI DOMINGUEZ / FOREVER STORE,43
61321-17-348954,COMPA,43
1173608-1-576634,LUCIO GALVEZ INGENIEROS S A,43
46723-76-304620,NATURE S SUNSHINE PRODUCTS PANAMA S A,43
1527123-1-652739,SUPPLIES & CO  S A,43
1633873-1-672368,AP MARKETING GROUP  S A,43
1165491-1-574998,AUTO DIESEL TRUK  S A,43
7-106-473,AGUSTO DE LEON/ ENMARCADOS MODERNOS,43
8-347-510,FIDEL RODRIGUEZ HIDALGO.,43
3687-124-53369,HIELERIA AZUERO S A,43
8-819-861,DIANA CHENG /MULTI HOGAR CHANGUINOLA,43
8-90-2364,ALMACEN MUNDIAL,43
8-777-2478,ELIZA ZHONG DE ZENG,43
8-887-1523,LEONEL WU JIANG/ALMACEN LA NUEVA FORTUNA NO.1,43
e-8-96861,zhi hua zhang/distribuidora 3 h,43
4-137-687,OVIDIO PEREZ/ GRUPO OVIMAR,43
1259066-1-595106,LIFESTYLEDESING CORP,43
2559546-1-827602,OMSTISA S.A,43
734052-1-476073,SAINT   GIANNA  CORPORATION  S A,43
227-216-53765,"J.CAIN Y CIA, S.A",43
155605807-2-2015,"ISTVEN, SA",43
2348996-1-797470,SOLUCIONES AGROPECUARIAS S.A.,43
2065065-1-750454,HUURRE PANAMA S A,43
2582498-1-831248,ALMACEN EL NUEVO LIDER,43
4-755-2434,VIVERO SARA-CELY,43
25523-104-218931,"FINE FOODS, S. A.",43
AAF672625,JUAN FELIX GARCIA BARRERO,43
8-160-680,RICARDO AUDLEY PENADO OGLIVIE,43
155658394-2-2017-563483,FANNYS VARIETY STORE,43
8-915-730,LUIS ENRIQUE LI LEE,43
3-707-2167,maria anaya,43
8-855-2051,FELICIA ZHANG YE,43
37562-78-267928,CIA ROBLES S A,43
1550758-1-657340,SENSATION PRODUCTIONS  S A,43
8-186-821,RODRIGO FABREGA,43
53284-129-327308,LATINOAMERICANA DE BIENES RAICES S.A.,43
624503-1-455353,PEDERSEN FINE FOOD INC,43
155603635-2-2015,"FOGEL COMERCIAL DE PANAMA, SA",43
1390257-1-1465,ALCATEL LUCENT MEXICO S A,43
497223763,LUIS ENRIQUE SATURNO,43
155667662-2-2018,WAN ENTERPRISE S.A.,43
155631415-2-2016,TRI COLORE INC,43
8228-2-2018,"PARAMA HANSA, S.A.",43
155643384-2-2017,PMC CALL CORP,43
2157289-1-766346,EMPRESAS HT S.A,43
155665153-2-2018,FORZA COMMERCIAL SERVICES SA,43
896224-1-514006,FITNESS SHOP  S  A,43
38919-117-273345,NELSON S BILLIARD SUPPLY INC,43
1116229-1-563352,NESS PANAMA S A,43
269331-1-405845,VITANOVA HOLDING S A,43
2123656-1-760784,GRUPO AGROI. EL GATO NEGRO,43
37858-124-269286,ECLECTICO S A,43
155611590-2-2015,"SOLAR LATAM, SA",43
1598443-1-665877,MON CONSTRUCCION  S  A,43
155633525-2-2016,E WONG INVESTMENT S.A.,43
4-758-1383,JUAN MOHAMED SALOMON/INV. KARIM,43
2257776-1-782768,FEM CORP,42
1864524-1-715957,VYSISA PANAMA S A,42
155589374-2-2014,"SIMPLEMENTE MADERA PANAMA, SA",42
1740629-1-694256,ADUCARGA EXPRESS  S A,42
89656-1-376987,ISLA VERDE SERVICES S A,42
1764156-1-698834,PIEL MEDICAL  SPA  S A,42
1680822-1-682128,SECURITIES TECHNOLOGY CORP,42
155596299-2-2015,MC WATER SERVICES S.A.,42
2298550-1-789508,BANNABA COFFEE S.A.,42
155590945-2-2015,"FOODMAX, S.A",42
2525383-1-822431,ZLF INVESTMENT GROUP S.A.,42
155634761-2-2016,"ROOFLAND PAN, S.A.",42
9-729-1430,ALMACEN EL PODER/ YASSURY LISBETH RODRIGUEZ MORENO,42
TR3297256,YUMIKA TANAKA,42
2311470-1-791517,PAPRO PANAMA S.A,42
155622863-2-2016,"PANAMA HIDRO MARKET, S.A.",42
553919-1-443865,OBJEKT PANAMA S A,42
2211836-1-775050,PANAMA ACCESORIES TREND INC,42
7-708-2096,KAIS SAFI DOMINGUEZ /FOREVER STORE,42
18223-1-366525,EDITORA DEL CARIBE S A,42
2663646-1-842540,WONDERLAND PANAM INTER. S.A.,42
1385795-1-625136,A M T  ARQUITECTURA Y MONTAJES TECNICOS (PANAMA)  S  A,42
TR4669244,SHINICHI KUWABARA,42
155610488-2-2015,DISTRIB. RIMET DE PANAMA S.A,42
155616116-2-2015,LEEFENG S.A.,42
29257-96-234566,SUQUISA COMERCIAL S A,42
8-849-366,VENTAS INTERNACIONAL,42
3-90-1434,JAVIER ANTONIO CRIMALDO - DISTRIBUIDORA G & G,42
155636885-2-2016,COMERCIALIZADORA MG CORP,42
1252663-1-593577,SELECT PANAMA REAL ESTATE  INC,42
N-19-1156,ZHANPEI CHU LUO,42
2594650-1-832869,"T E GLOBAL, SA",42
1415-184-28151,INDUSTRIA NACIONAL DE ENVASES,42
5-NT-2-5001291,CONSORCIO PTAP DARIEN 2016,42
1425068-1-632781,DISTRIBUIDORA MSTAR  S A,42
2355505-1-798545,SUMINISTRO ASAP S.A.,42
155624865-2-2016,"PANAMA PREMIUM PARTS, SA",42
1195585-1-581041,MIVTECH INC,42
155669516-2-2018,INDIGO 18 FASHION GROUP S.A.,42
1-710-1498,MR MENTA WAI SURF SHOP,42
155633956-2-2016,GRUPO CARNABY CORP,42
8-866-1043,NASER TAWILL / ALMACEN EL DOLLAR Y MAS,42
1182385-1-578408,SALZBURG DEVELOPMENT S A,42
155634614-2-2016,THE DANDY STORE CORP.,42
8-914-1315,KOO SUN WU ZHANG / LA CASA DE LAS ESTUFAS,42
155657452-2-2017,"INVERSIONES LCL, S.A.",42
2237444-1-779094,"GALERIAS OPTICAS, SA",42
2676366-1-844485,GHEJAL INVERSIONES S.A,42
103511-1-378952,BAMUSA S A,42
2120572-1-760234,STAR MEDICS S A,42
2025-14-7798,PATRONATO LUZ DEL CIEGO,42
2362241-1-799477,SOLUBRITE S.A,42
STANDNO532-533,UNAC,42
155599733-2-2015,VENTAS Y SERVICIO TECN. LATSY,42
11540-1-365681,CORPORACION HOTELERA 2000 S A,42
342673-1-416349,SEVERUM  S  A,42
O.P.S.,ORGANIZACION PANAMERICANA DE LA SALUD,42
2578934-1-830676,"NATA, S. A.",42
9-97-2520,GEORGINA SOLIS DE ROJAS,42
4-747-2471,LUZDIAM VERGARA/EL MUNDO DE LOS EVENTOS Y FUEGOS ARTIFICIALES,42
1210140-1-584078,PANAMA BUS CORP,42
155614885-2-2015,N M J S.A / ZONA FRANCA MALL,42
8-910-1492,ABRAHAM ALEJANDRO MORALES CORNEJO(DRAGON IMPORT),42
943970-1-524371,SHREE MAHALAXMI S A,42
39314-94-275074,ESTRATEGO S A,42
1639469-1-673467,PANAMA BOXES INC,42
28956-128-233503,CONSTRUCCIONES CIVILES GENERALES S A,42
155672119-2-2018,OIR JUNTOS PANAMA INC,42
2161-2-8272,CEDE?O & MENDEZ,42
2625600-1-837290,EMUNA HOLDINGS INC,42
155611581-2-2015,"SHIMGE DE PANAMA, S.A.",42
4-807-2241,ERIBERTO ENRIQUE CASES,42
2545949-1-825646,THE GLOBAL SPA PANAMA S.A,42
N20-278,ERNESTO NG/MULTICOMERCIAL ACK,42
735-126-116407,PANASONIC LATIN AMERICA,42
1118322-1-563759,FN INTERNACIONAL S A,42
155649224-2-2017,"ARGUSEYE PANAMA, S.A.",42
155631052-2-2016,COINTERSA,42
2538937-1-824563,IMPORTA.Y DISTRI. DEL ISTMO SA,42
N-20-1612,MEHAMED YUMAS ASSAD/BOCAS CITY,42
2687680-1-846180,TORRE VENTANAS S.A.,42
4-727-253,JUAN ANTONIO GONZALEZ,42
138056-1-383805,CLUB CAR S A,42
155588057-2-2014,"GRUPO N M , S.A.",42
155635023-2-2016,"CHANSTONE, S.A.",42
2383186-1-802474,"HEBI SANITARY PROCESS ,S.A",42
1-2-105488,CONSORCIO ASOCIACION ACCIDENTAL CHANGUINOLA,42
59391-1-372260,SERVICENTRO AUTO NITRO S A,42
2-711-1985,MERARDO FERNANDEZ,42
E-8-42867,MARIA DEL ROSARIO VELEZ DE VARGAS/BORDADOS NACIONALES,42
155612379-2-2015,KATANA PANAMA CORP,42
155654839-2-2017,"PURASOL PANAMA, S.A.",42
8-904-871,DIST Y SEDERIA POPULAR/LILI HOU ZHONG,42
4-731-190,ELIZABETH RIVERA/UTICENTRO DAVID,42
28916-44-233381,NOVA ZONA LIBRE S A,42
4-137-687,OVIDIO PEREZ/ Grupo Ovimar Comercial,42
8-473-908,DANA TALIK CARRERA DE GOMEZ / INVERSIONES GOCAR,42
2434444-1-809851,COVESA PANAMA S.A,41
FB486088,RAMONA CHIMA,41
216353-1-397780,"ARTIOLI, S.A.",41
1311073-1-608173,INVERSIONES ATHANASIADIS RAMOS  S A,41
8NT-2-34624,JAIRO MOSQUERA SOLANO,41
8-917-480,BELKIS LIAO ZHANG,41
968-29-106267,NUEVA COMPA?IA MAYORISTA S A,41
155602399-1-2015,GRUPO A.C.,41
8-918-372,CHRISTIAN JOEL LUO WU/NVA MAYORIASTA JANE,41
1486819-1-644868,IMPORTADORA JET FA  S A,41
2239086-1-779366,MALLINCKRODT PANAMA S.A.,41
1805806-1-706217,TRADE SERVICE PANAMA  INC,41
9-221-405,SILVESTRE CAMARENA,41
1984209-1-737573,MARMOLES DEL ISTMO S A,41
5-16-1848,PEREZ PE,41
55407-12-333509,PROYECTOS ELECTROMECANICOS S A,41
988322-1-533657,MATERIALES TECH S A,41
6-66-629,ROGELIO RODRIGUEZ/INV. RODRIGUEZ,41
E-8-61714,QIN HONG SUN /IMP.MAR DEL SUR,41
1877294-1-718371,INFO CLASS PANAMA S A,41
1-720-936,"ALONSO BANARD FRANCIS/KAV S,A",41
155662138-2-2018,MENARD S.A.,41
15562138-2-2018,"MENARDS, S. A.",41
2514969-1-820953,SCHINDLER PANAMA S.A,41
12466-218-123767,DISTRIBUIDORA PLIDEL S A,41
E-8-87219,ZHIYOU LIANG,41
1314650-1-609085,GISBOURNE DEVELOPMENT TRADING  S A,41
155626379-2-2016,"RAS PTY GROUP, S.A.",41
1584935-1-663233,MEDICA FERTIL S A,41
424-431-92008,TELEMUSICA S A,41
379668-1-421509,FORMAS GRAFICAS S A,41
155659385-2-2017,ZAMDEL EXPRESS SERVICES INC,41
2620332-1-836596,GREEN BUILDING 21 S.A,41
2114661-1-759129,PANAME,41
582901-1-448498,IMPORTECNICA S A,41
504-325-109572,ROGADEPA S A,41
4-159-227,MEIBY URENA DELGADO,41
2526-111-42658,INVERSIONES ADEMAR S A,41
2285351-1-787644,ALMACEN EL AM,41
1790696-1-703643,INGENIA SUPPLY INC,41
e-8-91284,MOSHIUR RAHAMAN/TAZ DISTRIBUIDORA,41
2567876-1-828934,IMPORTADORA PREMIUM S.A,41
1138738-1-569065,TRANSERVICE ADG S A,41
130137-1-382651,LA MEGA S A,41
817848-1-499551,PANAHIERROS  S A,41
TR8875344,YOHEI YAGUCHI,41
643667-1-458528,L&D PANAMA  S A,41
803332-1-495671,OVERSEAS EXPORT INC,41
155610783-2-2015,ALL MARCAS S.A.,41
2332423-1-794721,GESBRAND CORP,41
8-347-510,FIDEL RODRIGUEZ HIDALGO,41
3-108-425,VICTOR DAVID COHEN MUGRABI,41
319-378-69337,CORPORACION INDUSTRIAL PANAME,41
1581-489-31820,DISTRIBUIDORA ARBA S A,41
377204-1-421130,EMPAQUES INDUSTRIALES S A,41
1002222816,CESAR CASTA,41
728378-1-474738,EUROBAU PANAMA S A,41
897796-1-514291,CENTRO DE TORNILLOS  S A,41
2688883-1-2401,INGERSOLL RAND LATIN AMERICA SUCURSAL PANAMA,41
1857082-1-714768,BONIPRA S A,41
2347404-1-2171,SCIENTIFIC GAMES INTERNAT. INC,41
63528-24-355253,C S  CONTRATISTAS  S A,41
155629635-2-2016,PATPHA CORP,41
155621904-1-2016,DISTRIBUIDORA H.H. S.A.,41
987335-1-531355,GRUPO EDEN S A,41
8-NT-1-23130,EMBAJADA DE LOS ESTADOS UNIDOS,41
42702-2-289006,CASA FORMOSA S A,41
225946-1-399142,HIDRO POWER SYSTEMS INC,41
2072720-1-751812,DISTRIBUIDORA LA QUINCHA S A,41
N-20-2018,SHU WAH CHONG WONG / NOVEDADES JACKY,41
E-8-124801,DAVID LA CROIX,41
2067688-1-750917,LIFE CONTRACT S A,41
155586677-1-1-,ALMACEN TOTO ALMIRANTE,41
8-879-2322,CECILIA HOU HO,41
1409509-1-629551,CONSULTORES INTER. UNIT. CORP,41
4-230-936,MUEBLES FAGENA/J.MONTENEGRO,41
1-725-753,NESRIM YAMAL ABDALLA,41
E-8-89997,YUQIONG GU / DIST. FIESTA UNIVERSAL,41
1569672-1-660491,DISTRIBUIDORA MINERALIN S A,41
47275-40-306566,CEDE?O CEDE?O Y ASOCIADOS S A,41
8-900-31,ALICIA CHONG YAU / ALM.TORTI,41
1177275-1-577414,RAPID CARGO PANAMA S A,41
1638558-1-673281,IMPERIAL METALS INC,41
7445-60-81470,LABORATORIOS SAN RAFAEL S A,41
1984283-1-737580,TRAVELEX PANAMA S.A.,41
2251166-1-781583,DISTRIBUIDORA SANTANA SA,41
91708-1-377321,PANAMA LENGUAGE CENTER S A,41
8-831-466,FELIX CHOA LOO,41
2362766-1-799550,SAMSONITE PANAMA S.A.,41
1923030-1-726515,CITY SIGHTSEEING PANAMA  INC,41
1723210-1-690761,PEQUE S A,41
155594959-2-2015,GRUPO MONTEVERDE & MIRANDA,41
1560693-1-658956,PANAMA TRACTOR  S A,41
1562033-1-659203,COLCHONES PARADISE C  A  S  A,41
8-400-507,RAFAEL ANTONIO BORGES FABREGA,41
15586284-2-2014,AIMING TRUE NORTH CORPORATION,41
155633429-2-2016,"IMPORT & EXPORT WJW, S.A",41
980915-1-532087,A&S GOLF COMPANY   S A,41
095626970,MARIA YOLEIMA MARQUEZ DE VALERA,41
47762-31-308532,LA COSA S A,41
23054-97-205329,SISTEMAS JURIDICOS S A,40
2347940-1-797305,PROQUIMSA,40
386304-1-422375,CARIBBEAN PATTY S A,40
1561309-1-659069,AGROENZYMAS DE PANAMA  SOCIEDAD ANONIMA,40
2072744-1-751817,"DAMCAS , S A",40
226-255-52736,COMPA#IA GANADERA DE COCLE S A,40
2034782-1-745471,PAN AMERICAN PRINTING CO S.A.,40
2146558-1-764723,MASAF CIL S A,40
AR138798,NATALIA JIMENEZ,40
1387079-1-625451,SUPER CENTRO PALENQUE S A,40
155599945-2-2015,"USADOS LOS NARANJOS, SA",40
2518784-1-821495,ATLANTIC CENTROAMERICA S.A.,40
1385643-1-625085,SERVICIOS DE ADUANAS JIMENEZ  S A,40
155595830-2-2015,"HOME QUALITY OUTDOORS, SA",40
653864-1-460119,SHOP AND SAVE INTERNATIONAL S A,40
155593274-2-2015,MACHINERY PARTS & SERVICES SA,40
3-721-1476,ANDRES CHENG LAM,40
943851-1-524358,AMERICAN COLORS  INC,40
E-8-108000,EVA ROMBOLI,40
111846911,XIOMARA GIL,40
N-21-763,HUIQIONG CHENG/DISTRIBUIDORA LA ESTELLA,40
8-900-2364,jorge luo/almacen mundial,40
2681913-1-845298,"HERRERANA DE INVERSIONES, S.A.",40
2248985-1-781157,BLUEFIN RENTAL INC,40
617-479-14769,AROSEMENA NORIEGA Y CONTRERAS,40
603-192-124945,INSTALACIONES ELECTROMECANICAS S A,40
1780034-1-701755,PROYECTOS Y CONTRATISTAS  S A,40
1641619-1-673845,TJ SERVICES S A,40
1995741-1-739366,MECANICATEK PANAMA  S A,40
155617609-2-2015,INVERDIONES GEMONDO S.A.,40
1786582-1-702989,ALMACEN AGROPECUARIO ASIA  S A,40
8-367-63,FELIX PARDOS,40
2114661-1-759129,PANAME?A DE ELEVACION S.A.,40
X0797485,FLORIAN ROBERT,40
155637104-2-2016,"DEMECI, S.A.",40
2367749-1-800289,HYLAND COMMERCIAL CORP,40
E-8-91284,MOSHIUR RAHAMAN/ TAZ DISTRIBUIDORA,40
502755042,ROBERT SAPP,40
1928135-1-727584,ALQUILER DE MAQUINARIA DE CONSTRUCCION,40
266458-1-405361,"C M S GLOBAL,S.A.",40
517205-1-438053,DENHAM Y COMPA?IA S A,40
58773-1-372259,INTERNATIONAL MARCONSULT,40
8-712-2006,DISTRIBUIDORA LOS ALPES CHIRICANOS,40
8-758-1606,DTC EXPRESS,40
8-828-1748,JERONIMO OSVALDO AVERZA CARDENAS,40
8-801-1527,IVAN CABRERA,40
2085387-1-754071,INTERNACIONAL LA PAZ S.A,40
1299-42-17408,INSTITUTO SMITHSONIAN DE INVESTIGACIONES TROPICALES,40
59888-50-345513,"KENT EXPRESS,S.A.",40
8-886-306,AMY PAULINA LUO CHUNG/FERRET. Y MAT ECOM,40
155634942-2-2016,"OFIMPRESO ESCOLAR, S.A.",40
1773283-1-700414,SEVIALCA PANAMA  S A,40
155597421-2-2015,"NR GLOBAL, SA",40
8-914-1315,KOO SUN WU ZHANG,40
30387-20-238537,TELERED S A,40
2216496-1-775754,CHEMICAL SUPPLIES & SERVICES,40
2178668-1-769968,VCP PANAMA S A,40
2060084-1-749548,EXCELAG PROFESSIONAL PRO.INC,40
1989813-1-738490,ENVTECH  S A,40
2362564-1-799526,GESVIL 1975 S.A.,40
155604032-2-2015,SPORTIUM APUESTAS PANAMA SA,40
1299-42-117408,INSTITUTO SMTHSONIAN DE INVESTIGACIONES TROPICALES,40
1808704-1-706828,CORPORACION SSC  S A,40
1847017-1-712969,FERRETERIA BOCAS DEL TORO  S A,40
882034-1-1245,BIOTECS INGENIERIA DE TRATAMIENTO DE AGUAS LTDA,40
155602767-2-2015,BLU BY PEQUE,40
